Year,Month,Journal,Journal Impact factor,Title,Commodity,Deposit type,Methodology,Title,Author,Public availability original dataset,Training/Application dataset type,Training vs Application dataset relationship,Training to application scope,url,_key
2021,November,Computers & Geosciences,Unknown,A positive and unlabeled learning algorithm for mineral prospectivity mapping,Unknown,"Skarn (Fe, Cu, W, Zn-Pb, Sn, Au-As-Cu)",supervised > tree-based > random forest; supervised > kernel-based > support vector machine; supervised > neural networks > feedforward neural network (MLP),A positive and unlabeled learning algorithm for mineral prospectivity mapping,"Yihui Xiong, Renguang Zuo",True,Geochemical anomalies; Unknown; Aeromagnetic anomalies; Unknown; Geological maps; Unknown,Different,Region A to Region B,https://doi.org/10.1016/j.cageo.2020.104667,computers  geosciences | yihui xiong renguang zuo | a positive and unlabeled learning algorithm for mineral prospectivity mapping
2022,October,Computers & Geosciences,Unknown,Mineral prospectivity mapping using a joint singularity-based weighting method and long short-term memory network,Unknown,VMS (Volcanogenic Massive Sulfide),supervised > deep learning > long short-term memory network (LSTM),Mineral prospectivity mapping using a joint singularity-based weighting method and long short-term memory network,"Ziye Wang, Renguang Zuo",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.cageo.2021.104974,computers  geosciences | ziye wang renguang zuo | mineral prospectivity mapping using a joint singularity-based weighting method and long short-term memory network
2022,February,Computers & Geosciences,Unknown,Applications of data augmentation in mineral prospectivity prediction based on convolutional neural networks,Unknown,Unknown,supervised > deep learning > convolutional neural network (CNN),Applications of data augmentation in mineral prospectivity prediction based on convolutional neural networks,"Na Yang, Zhenkai Zhang, Jianhua Yang, Zenglin Hong",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.cageo.2022.105075,computers  geosciences | na yang zhenkai zhang jianhua yang zenglin hong | applications of data augmentation in mineral prospectivity prediction based on convolutional neural networks
2025,November,Computers & Geosciences,Unknown,Optimized AI-MPM: Application of PSO for tuning the hyperparameters of SVM and RF algorithms,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > kernel-based > support vector machine; optimization/heuristic > metaheuristics > particle swarm optimization,Optimized AI-MPM: Application of PSO for tuning the hyperparameters of SVM and RF algorithms,"Mehrdad Daviran, Abbas Maghsoudi, Reza Ghezelbash",No,Geochemical signatures in stream sediments; Unknown; Geological and structural features; Unknown; Geophysical anomalies; Unknown; Hydrothermal alteration patterns; Unknown,Different,Region A to Region B,https://doi.org/10.1016/j.cageo.2024.105785,computers  geosciences | mehrdad daviran abbas maghsoudi reza ghezelbash | optimized ai-mpm application of pso for tuning the hyperparameters of svm and rf algorithms
2020,June,Ore Geology Reviews,Unknown,Modeling of Cu-Au prospectivity in the Carajás mineral province (Brazil) through machine learning: Dealing with imbalanced training data,Unknown,IOCG (Iron Oxide Copper-Gold),supervised > kernel-based > support vector machine; knowledge-driven > probabilistic > weights of evidence (WofE),Modeling of Cu-Au prospectivity in the Carajás mineral province (Brazil) through machine learning: Dealing with imbalanced training data,"Elias Martins Guerra Prado, Carlos Roberto de Souza Filho, Emmanuel John M. Carranza, João Gabriel Motta",True,"Airborne magnetic data; nT; Gamma-ray spectrometric data; eU, eTh; Gravity data; mGal; Geological map; Unknown",Different,Training to application scope: Training data from known mineralized locations to application in predicting prospective areas.,https://doi.org/10.1016/j.oregeorev.2020.103611,ore geology reviews | elias martins guerra prado carlos roberto de souza filho emmanuel john m carranza joão gabriel motta | modeling of cu-au prospectivity in the carajás mineral province brazil through machine learning dealing with imbalanced training data
2022,January,Ore Geology Reviews,Unknown,Mapping prospectivity for regolith-hosted REE deposits via convolutional neural network with generative adversarial network augmented data,Unknown,Unknown,supervised > deep learning > convolutional neural network (CNN); knowledge-driven > probabilistic > weights of evidence (WofE),Mapping prospectivity for regolith-hosted REE deposits via convolutional neural network with generative adversarial network augmented data,"Tong Li, Renguang Zuo, Xinfu Zhao, Kuidong Zhao",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2022.104693,ore geology reviews | tong li renguang zuo xinfu zhao kuidong zhao | mapping prospectivity for regolith-hosted ree deposits via convolutional neural network with generative adversarial network augmented data
2022,February,Ore Geology Reviews,Unknown,Application of maximum entropy for mineral prospectivity mapping in heavily vegetated areas of Greater Kurile Chain with Landsat 8 data,Unknown,Epithermal Au-Ag (HS/LS/IS),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); supervised > kernel-based > support vector machine; supervised > neural networks > feedforward neural network (MLP),Application of maximum entropy for mineral prospectivity mapping in heavily vegetated areas of Greater Kurile Chain with Landsat 8 data,"Sergei Shevyrev, Emmanuel John M. Carranza",True,Landsat 8 OLI data; Unknown; Mineral abundance images; Unknown,Different,Kunashir Island to Iturup Island,https://doi.org/10.1016/j.oregeorev.2022.104758,ore geology reviews | sergei shevyrev emmanuel john m carranza | application of maximum entropy for mineral prospectivity mapping in heavily vegetated areas of greater kurile chain with landsat 8 data
2022,April,Ore Geology Reviews,Unknown,Ensemble learning models with a Bayesian optimization algorithm for mineral prospectivity mapping,Unknown,Hydrothermal,supervised > tree-based > gradient boosting (XGBoost); supervised > tree-based > random forest,Ensemble learning models with a Bayesian optimization algorithm for mineral prospectivity mapping,"Jiangning Yin, Nan Li",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2022.104916,ore geology reviews | jiangning yin nan li | ensemble learning models with a bayesian optimization algorithm for mineral prospectivity mapping
2023,March,Ore Geology Reviews,Unknown,Mineral prospectivity mapping using attention-based convolutional neural network,Unknown,Unknown,supervised > deep learning > convolutional neural network (CNN); supervised > deep learning > attention-based model,Mineral prospectivity mapping using attention-based convolutional neural network,"Quanke Li, Guoxiong Chen, Lei Luo",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2023.105381,ore geology reviews | quanke li guoxiong chen lei luo | mineral prospectivity mapping using attention-based convolutional neural network
2023,July,Ore Geology Reviews,Unknown,"Mineral prospectivity mapping based on Support vector machine and Random Forest algorithm – A case study from Ashele copper–zinc deposit, Xinjiang, NW China",Unknown,VMS (Volcanogenic Massive Sulfide),supervised > tree-based > random forest; supervised > kernel-based > support vector machine,"Mineral prospectivity mapping based on Support vector machine and Random Forest algorithm – A case study from Ashele copper–zinc deposit, Xinjiang, NW China","Chaojie Zheng, Feng Yuan, Xianrong Luo, Xiaohui Li, Panfeng Liu, Meilan Wen, Zesu Chen, Stefano Albanese",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2023.105567,ore geology reviews | chaojie zheng feng yuan xianrong luo xiaohui li panfeng liu meilan wen zesu chen stefano albanese | mineral prospectivity mapping based on support vector machine and random forest algorithm  a case study from ashele copperzinc deposit xinjiang nw china
2023,July,Ore Geology Reviews,Unknown,"One-dimensional convolutional neural network for mapping mineral prospectivity: A case study in Changba ore concentration area, Gansu Province",Unknown,Vein systems (hypothermal/mesothermal/epithermal),supervised > deep learning > convolutional neural network (CNN),"One-dimensional convolutional neural network for mapping mineral prospectivity: A case study in Changba ore concentration area, Gansu Province","Binbin Li, Zhengbo Yu, Xijun Ke",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2023.105573,ore geology reviews | binbin li zhengbo yu xijun ke | one-dimensional convolutional neural network for mapping mineral prospectivity a case study in changba ore concentration area gansu province
2023,November,Ore Geology Reviews,Unknown,Mineral prospecting mapping with conditional generative adversarial network augmented data,Unknown,Orogenic (lode) gold,supervised > deep learning > convolutional neural network (CNN); supervised > deep learning > GAN; supervised > deep learning > CNN–GAN hybrid,Mineral prospecting mapping with conditional generative adversarial network augmented data,"Yixiao Wu, Bingli Liu, Yaxin Gao, Cheng Li, Rui Tang, Yunhui Kong, Miao Xie, Kangning Li, Shiyao Dan, Ke Qi, Yufei Ren, Zhuo Wu",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2023.105787,ore geology reviews | yixiao wu bingli liu yaxin gao cheng li rui tang yunhui kong miao xie kangning li shiyao dan ke qi yufei ren zhuo wu | mineral prospecting mapping with conditional generative adversarial network augmented data
2024,May,Ore Geology Reviews,Unknown,"Three-dimensional mineral prospectivity mapping based on natural language processing and random forests: A case study of the Xiyu diamond deposit, China",Unknown,Kimberlite/Lamproite (diamond),supervised > tree-based > random forest,"Three-dimensional mineral prospectivity mapping based on natural language processing and random forests: A case study of the Xiyu diamond deposit, China","Guanyun Zhou, Jianping Chen, Wentong An, Chang Liu, Wei Li",Available on request,Topographic map (Scale 1:2000; 1:10000); Geologic section (Scale 1:1000); Drill-hole data (Depth (m)); Geological plan of mining level (Scale 1:1000),Different,Region A to Region B,https://doi.org/10.1016/j.oregeorev.2024.106082,ore geology reviews | guanyun zhou jianping chen wentong an chang liu wei li | three-dimensional mineral prospectivity mapping based on natural language processing and random forests a case study of the xiyu diamond deposit china
2024,August,Ore Geology Reviews,Unknown,Improved mineral prospectivity mapping using graph neural networks,Unknown,VMS (Volcanogenic Massive Sulfide),supervised > deep learning > graph neural network (GNN),Improved mineral prospectivity mapping using graph neural networks,"Felix M.H. Sihombing, Richard M. Palin, Hannah S.R. Hughes, Laurence J. Robb",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2024.106215,ore geology reviews | felix mh sihombing richard m palin hannah sr hughes laurence j robb | improved mineral prospectivity mapping using graph neural networks
2025,February,Ore Geology Reviews,Unknown,"Mineral prospectivity mapping of orogenic gold mineralization in the Malartic-Val-d’Or Transect area, Metal Earth project, Canada",Unknown,Orogenic (lode) gold,supervised > tree-based > random forest; supervised > generalized linear models > logistic regression,"Mineral prospectivity mapping of orogenic gold mineralization in the Malartic-Val-d’Or Transect area, Metal Earth project, Canada","Ahmad Reza Mokhtari, Pouran Behnia, Bruno Lafrance, Mostafa Naghizadeh, Jack M. Simmons, Jeff R. Harris",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2025.106498,ore geology reviews | ahmad reza mokhtari pouran behnia bruno lafrance mostafa naghizadeh jack m simmons jeff r harris | mineral prospectivity mapping of orogenic gold mineralization in the malartic-val-dor transect area metal earth project canada
2025,February,Ore Geology Reviews,Unknown,Translation of mineral system components into time step-based ore-forming events and evidence maps for mineral exploration: Intelligent mineral prospectivity mapping through adaptation of recurrent neural networks and random forest algorithm,Unknown,VMS (Volcanogenic Massive Sulfide),supervised > tree-based > random forest; supervised > neural networks > feedforward neural network (MLP),Translation of mineral system components into time step-based ore-forming events and evidence maps for mineral exploration: Intelligent mineral prospectivity mapping through adaptation of recurrent neural networks and random forest algorithm,"Soran Qaderi, Abbas Maghsoudi, Mahyar Yousefi, Amin Beiranvand Pour",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2025.106537,ore geology reviews | soran qaderi abbas maghsoudi mahyar yousefi amin beiranvand pour | translation of mineral system components into time step-based ore-forming events and evidence maps for mineral exploration intelligent mineral prospectivity mapping through adaptation of recurrent neural networks and random forest algorithm
2025,March,Ore Geology Reviews,Unknown,Attention-driven graph convolutional neural networks for mineral prospectivity mapping,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > deep learning > graph neural network,Attention-driven graph convolutional neural networks for mineral prospectivity mapping,"Changjie Cao, Xiuliang Wang, Fan Yang, Miao Xie, Bingli Liu, Yunhui Kong, Cheng Li, Zhongli Zhou",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2025.106554,ore geology reviews | changjie cao xiuliang wang fan yang miao xie bingli liu yunhui kong cheng li zhongli zhou | attention-driven graph convolutional neural networks for mineral prospectivity mapping
2025,May,Ore Geology Reviews,Unknown,"Interpretable machine learning for mineral prospectivity mapping in the Qulong–Jiama district, Tibet, China",Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > kernel-based > support vector machine; supervised > neural networks > feedforward neural network (MLP),"Interpretable machine learning for mineral prospectivity mapping in the Qulong–Jiama district, Tibet, China","Nini Mou, Emmanuel John M. Carranza, Jianling Xue, Shuai Zhang, Gongwen Wang, Hao Song, Yuhao Chen, Xiangning Ren",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2025.106659,ore geology reviews | nini mou emmanuel john m carranza jianling xue shuai zhang gongwen wang hao song yuhao chen xiangning ren | interpretable machine learning for mineral prospectivity mapping in the qulongjiama district tibet china
2025,May,Ore Geology Reviews,Unknown,"Mineral prospectivity mapping of orogenic gold deposits using a mineral systems approach in the Huangling region, western Hubei",Unknown,Orogenic (lode) gold,supervised > tree-based > random forest; supervised > deep learning > convolutional neural network (CNN),"Mineral prospectivity mapping of orogenic gold deposits using a mineral systems approach in the Huangling region, western Hubei","Huimin Wang, Qinglin Xia, Zhou Zhou, Li Lei, Yaqi Meng, Changliang Chen, Yin Gong, Peng Yang",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2025.106681,ore geology reviews | huimin wang qinglin xia zhou zhou li lei yaqi meng changliang chen yin gong peng yang | mineral prospectivity mapping of orogenic gold deposits using a mineral systems approach in the huangling region western hubei
2025,June,Ore Geology Reviews,Unknown,Mineral prospectivity Mapping: An interpretable classifier Combining catchment basin and knowledge graph embedding,Unknown,Orogenic (lode) gold,supervised > tree-based > gradient boosting (XGBoost),Mineral prospectivity Mapping: An interpretable classifier Combining catchment basin and knowledge graph embedding,"Qun Yan, Yao Pei, Linfu Xue, Hairui Sun, Rui Wang, Xiangjin Ran",True,Geochemical data; ppm; Geochemical data; ppb,Same,"Gold prospectivity prediction in the Mawu area, Gansu Province",https://doi.org/10.1016/j.oregeorev.2025.106758,ore geology reviews | qun yan yao pei linfu xue hairui sun rui wang xiangjin ran | mineral prospectivity mapping an interpretable classifier combining catchment basin and knowledge graph embedding
2025,July,Ore Geology Reviews,Unknown,Multi-model decision system: An ensemble deep learning model to enhance predictive power in mineral prospectivity mapping,Unknown,IOCG (Iron Oxide Copper-Gold),supervised > deep learning > ensemble,Multi-model decision system: An ensemble deep learning model to enhance predictive power in mineral prospectivity mapping,"Zeinab Soltani, Hossein Hassani, Saeid Esmaeiloghli",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2025.106768,ore geology reviews | zeinab soltani hossein hassani saeid esmaeiloghli | multi-model decision system an ensemble deep learning model to enhance predictive power in mineral prospectivity mapping
2021,June,Journal of Geochemical Exploration,Unknown,A simulation-based framework for modulating the effects of subjectivity in greenfield Mineral Prospectivity Mapping with geochemical and geological data,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT),A simulation-based framework for modulating the effects of subjectivity in greenfield Mineral Prospectivity Mapping with geochemical and geological data,"Mohammad Parsa, Amin Beiranvand Pour",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.gexplo.2021.106838,journal of geochemical exploration | mohammad parsa amin beiranvand pour | a simulation-based framework for modulating the effects of subjectivity in greenfield mineral prospectivity mapping with geochemical and geological data
2023,November,Journal of Geochemical Exploration,Unknown,"Identification of geochemical anomalies related to mineralization: A case study from porphyry copper deposits in the Qulong-Jiama mining district of Tibet, China",Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > kernel-based > support vector machine; knowledge-driven > probabilistic > weights of evidence (WofE),"Identification of geochemical anomalies related to mineralization: A case study from porphyry copper deposits in the Qulong-Jiama mining district of Tibet, China","Nini Mou, Gongwen Wang, Xiang Sun",No,Geochemical data; Unknown; Geological map; Unknown; Stream sediment samples; Unknown,Different,Training from known deposits to application in the Qulong-Jiama mining district,https://doi.org/10.1016/j.gexplo.2022.107126,journal of geochemical exploration | nini mou gongwen wang xiang sun | identification of geochemical anomalies related to mineralization a case study from porphyry copper deposits in the qulong-jiama mining district of tibet china
2023,August,Journal of Geochemical Exploration,Unknown,"Mineral prospectivity mapping using machine learning techniques for gold exploration in the Larder Lake area, Ontario, Canada",Unknown,Orogenic (lode) gold,supervised > tree-based > random forest; supervised > unsupervised > principal component analysis; supervised > unsupervised > k-means clustering; supervised > generalized linear models > partial least squares-discriminant analysis,"Mineral prospectivity mapping using machine learning techniques for gold exploration in the Larder Lake area, Ontario, Canada","Haiming Liu, Jeff Harris, Ross Sherlock, Pouran Behnia, Eric Grunsky, Mostafa Naghizadeh, Kate Rubingh, Gyorgyi Tuba, Eric Roots, Graham Hill",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.gexplo.2023.107279,journal of geochemical exploration | haiming liu jeff harris ross sherlock pouran behnia eric grunsky mostafa naghizadeh kate rubingh gyorgyi tuba eric roots graham hill | mineral prospectivity mapping using machine learning techniques for gold exploration in the larder lake area ontario canada
2024,July,Journal of Geochemical Exploration,Unknown,"How do non-deposit sites influence the performance of machine learning-based gold prospectivity mapping? A study case in the Pitangui Greenstone Belt, Brazil",Unknown,Orogenic (lode) gold,supervised > tree-based > random forest; supervised > tree-based > artificial neural network; supervised > kernel-based > support vector machine,"How do non-deposit sites influence the performance of machine learning-based gold prospectivity mapping? A study case in the Pitangui Greenstone Belt, Brazil","Brener Otávio Luiz Ribeiro, Danilo Barbuena, Gustavo Henrique Coelho de Melo, João Gabriel Motta, Eduardo Duarte Marques, Marcelo de Souza Marinho",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.gexplo.2024.107543,journal of geochemical exploration | brener otávio luiz ribeiro danilo barbuena gustavo henrique coelho de melo joão gabriel motta eduardo duarte marques marcelo de souza marinho | how do non-deposit sites influence the performance of machine learning-based gold prospectivity mapping a study case in the pitangui greenstone belt brazil
2021,July,Applied Geochemistry,Unknown,"A copper porphyry promising zones mapping based on the exploratory data, multivariate geochemical analysis and GIS integration",Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); knowledge-driven > multicriteria decision analysis > AHP; knowledge-driven > multicriteria decision analysis > TOPSIS,"A copper porphyry promising zones mapping based on the exploratory data, multivariate geochemical analysis and GIS integration","Farzad Moradpouri, Mohammad Hayati",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.apgeochem.2021.105051,applied geochemistry | farzad moradpouri mohammad hayati | a copper porphyry promising zones mapping based on the exploratory data multivariate geochemical analysis and gis integration
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); knowledge-driven > multicriteria decision analysis > AHP,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown | unknown | unknown
2025,January,Journal of Applied Geophysics,Unknown,"A multistage algorithm to generate a predictive porphyry intrusion evidential map with low uncertainty for mineral prospectivity mapping, case study in Pariz Area, Iran",Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); supervised > tree-based > XGBoost; supervised > tree-based > LightGBM; supervised > tree-based > CatBoost,"A multistage algorithm to generate a predictive porphyry intrusion evidential map with low uncertainty for mineral prospectivity mapping, case study in Pariz Area, Iran","Gholam-Reza Elyasi, Abbas Bahroudi, Maysam Abedi",Unknown,Aeromagnetic data; nT; Geological data; Unknown; Geochemical data; Unknown,Same,"Regional scale (1:100,000)",https://doi.org/10.1016/j.jappgeo.2025.105637,journal of applied geophysics | gholam-reza elyasi abbas bahroudi maysam abedi | a multistage algorithm to generate a predictive porphyry intrusion evidential map with low uncertainty for mineral prospectivity mapping case study in pariz area iran
2022,March,Journal of African Earth Sciences,Unknown,Data-driven multi-index overlay gold prospectivity mapping using geophysical and remote sensing datasets,Unknown,Vein systems (hypothermal/mesothermal/epithermal),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); supervised > kernel-based > support vector machine,Data-driven multi-index overlay gold prospectivity mapping using geophysical and remote sensing datasets,"Eric Dominic Forson, David Dotse Wemegah, Godfred Bright Hagan, Desmond Appiah, Fortune Addo-Wuver, Isaac Adjovu, Frank Osae Otchere, Said Mateso, Aboagye Menyeh, Theophilus Amponsah",True,magnetic anomaly; nT; gravity anomaly; mGal; potassium concentration; % K; hydroxyl concentration; % OH; iron concentration; % Fe; lineament density; km/km²,Different,Region A to Region B,https://doi.org/10.1016/j.jafrearsci.2022.104504,journal of african earth sciences | eric dominic forson david dotse wemegah godfred bright hagan desmond appiah fortune addo-wuver isaac adjovu frank osae otchere said mateso aboagye menyeh theophilus amponsah | data-driven multi-index overlay gold prospectivity mapping using geophysical and remote sensing datasets
